Busname,Bustype,Busroutes,Departing_time,Duration,Reaching_time,Star_rating,Price,Seats_available,buslink
KSRTC (Kerala) - 581,Super Express Non AC Seater Air Bus (2+2),Bangalore to Kozhikode Bus,10:00,08h 22m,18:22,4.1,469.0,7 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 52,SWIFT-GARUDA A/C SEATER BUS,Bangalore to Kozhikode Bus,12:00,08h 20m,20:20,3.7,627.0,8 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 129,SWIFT-GARUDA A/C SEATER BUS,Bangalore to Kozhikode Bus,14:15,08h 50m,23:05,4.3,627.0,32 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 235,Swift Deluxe Non AC Air Bus (2+2),Bangalore to Kozhikode Bus,15:00,10h 00m,01:00,3.9,620.0,29 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 370,AC MULTI AXLE,Bangalore to Kozhikode Bus,15:25,06h 55m,22:20,2.7,729.0,5 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 97,Swift Deluxe Non AC Air Bus (2+2),Bangalore to Kozhikode Bus,16:00,08h 45m,00:45,2.4,567.0,14 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 171,Swift Deluxe Non AC Air Bus (2+2),Bangalore to Kozhikode Bus,16:15,09h 30m,01:45,4.1,640.0,30 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 553,Super Express Non AC Seater Air Bus (2+2),Bangalore to Kozhikode Bus,16:45,08h 40m,01:25,4.1,640.0,29 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 51,Swift Deluxe Non AC Air Bus (2+2),Bangalore to Kozhikode Bus,19:00,09h 30m,04:30,3.9,640.0,26 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 789,Super Fast Non AC Seater (2+3),Bangalore to Kozhikode Bus,20:00,07h 45m,03:45,3.7,473.0,38 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 1585,Super Express Non AC Seater Air Bus (2+2),Bangalore to Kozhikode Bus,20:40,09h 30m,06:10,3.9,640.0,26 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 1586,Super Express Non AC Seater Air Bus (2+2),Bangalore to Kozhikode Bus,21:30,09h 25m,06:55,3.6,640.0,27 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 2133,Swift Deluxe Non AC Air Bus (2+2),Bangalore to Kozhikode Bus,22:10,09h 25m,07:35,4.3,640.0,29 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 2063,SWIFT-GARUDA A/C SEATER BUS,Bangalore to Kozhikode Bus,22:30,08h 00m,06:30,3.9,627.0,16 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 574,Super Express Non AC Seater Air Bus (2+2),Bangalore to Kozhikode Bus,23:00,10h 40m,09:40,3.2,469.0,9 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 583,Super Express Non AC Seater Air Bus (2+2),Bangalore to Kozhikode Bus,23:30,10h 20m,09:50,3.5,469.0,27 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 56,SWIFT-GARUDA A/C SEATER BUS,Bangalore to Kozhikode Bus,23:40,10h 20m,10:00,3.2,627.0,32 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
MMK Travels,A/C Seater / Sleeper (2+1),Bangalore to Kozhikode Bus,22:30,09h 00m,07:30,4.4,750.0,21 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),Bangalore to Kozhikode Bus,23:00,10h 00m,09:00,4.3,599.0,37 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
DLT BUS,A/C Sleeper (2+1),Bangalore to Kozhikode Bus,22:30,09h 00m,07:30,4.2,1099.0,15 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
SAAM BUS,VE A/C Sleeper (2+1),Bangalore to Kozhikode Bus,21:45,09h 00m,06:45,4.2,850.0,16 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
P K Travels,A/C Sleeper (2+1),Bangalore to Kozhikode Bus,18:45,11h 45m,06:30,4.1,950.0,18 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
NS Transports,VE A/C Sleeper (2+1),Bangalore to Kozhikode Bus,22:45,08h 45m,07:30,3.9,924.0,21 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
National travels and logistics,A/C Sleeper (2+1),Bangalore to Kozhikode Bus,22:45,08h 15m,07:00,4.6,749.0,19 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Suraj Holidays,VE A/C Sleeper (2+1),Bangalore to Kozhikode Bus,22:30,09h 00m,07:30,3.9,900.0,23 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
NS Transports,Non A/C Seater / Sleeper (2+1),Bangalore to Kozhikode Bus,22:15,08h 15m,06:30,4.0,648.0,21 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
DA Transports,A/C Sleeper (2+1),Bangalore to Kozhikode Bus,21:45,09h 15m,07:00,3.8,700.0,30 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
SKS Tours & Travels,A/C Sleeper (2+1),Bangalore to Kozhikode Bus,21:15,08h 30m,05:45,4.3,899.0,25 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
National travels and logistics,NON A/C Sleeper (2+1),Bangalore to Kozhikode Bus,22:30,07h 45m,06:15,3.5,599.0,19 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Sam Tourist,NON AC Seater / Sleeper 2+1,Bangalore to Kozhikode Bus,22:05,09h 00m,07:05,3.9,599.0,30 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Suraj Holidays,NON AC Seater / Sleeper 2+1,Bangalore to Kozhikode Bus,20:30,09h 30m,06:00,3.5,750.0,20 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),Bangalore to Kozhikode Bus,22:00,09h 05m,07:05,3.4,999.0,26 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
P K Travels,Non A/C Seater / Sleeper (2+1),Bangalore to Kozhikode Bus,18:45,10h 30m,05:15,3.7,650.0,21 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
A1 Travels,Non A/C Seater / Sleeper (2+1),Bangalore to Kozhikode Bus,21:00,09h 45m,06:45,2.5,550.0,36 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
SKS Tourist Corporation (REGD),A/C Sleeper (2+1),Bangalore to Kozhikode Bus,21:00,08h 30m,05:30,3.5,899.0,21 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Kalpaka Travels,NON A/C Semi Sleeper (2+2),Bangalore to Kozhikode Bus,22:00,08h 30m,06:30,2.9,800.0,32 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
A1 Travels,A/C Seater / Sleeper (2+1),Bangalore to Kozhikode Bus,21:45,09h 15m,07:00,2.7,700.0,26 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Vijay Lines,A/C Seater / Sleeper (2+1),Bangalore to Kozhikode Bus,22:20,08h 40m,07:00,2.1,949.0,39 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
A1 Travels,A/C Seater / Sleeper (2+1),Bangalore to Kozhikode Bus,22:30,08h 00m,06:30,2.6,600.0,35 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),Bangalore to Kozhikode Bus,03:00,08h 00m,11:00,1.9,1500.0,10 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
P K Travels,A/C Seater / Sleeper (2+1),Bangalore to Kozhikode Bus,21:30,08h 30m,06:00,4.6,750.0,31 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
MMK Travels,A/C Sleeper (2+1),Bangalore to Kozhikode Bus,22:10,08h 30m,06:40,3.8,900.0,18 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Bharathi Travels,A/C Sleeper (2+1),Bangalore to Kozhikode Bus,02:30,07h 30m,10:00,3.7,690.0,13 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Orange Tours And Travels,Bharat Benz A/C Sleeper (2+1),Bangalore to Kozhikode Bus,02:30,07h 30m,10:00,2.1,900.0,7 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Balaji Tourist,Volvo Multi-Axle A/C Semisleeper (2+2),Bangalore to Kozhikode Bus,22:00,08h 30m,06:30,1.9,1388.0,8 Seats available,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
KSRTC (Kerala) - 788,Super Fast Non AC Seater (2+3),Kozhikode to Bangalore Bus,07:00,08h 20m,15:20,3.9,432.0,12 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
KSRTC (Kerala) - 2132,Swift Deluxe Non AC Air Bus (2+2),Kozhikode to Bangalore Bus,07:30,08h 20m,15:50,2.8,567.0,12 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
KSRTC (Kerala) - 580,Super Express Non AC Seater Air Bus (2+2),Kozhikode to Bangalore Bus,08:05,08h 40m,16:45,3.5,469.0,5 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
KSRTC (Kerala) - 53,SWIFT-GARUDA A/C SEATER BUS,Kozhikode to Bangalore Bus,08:30,08h 35m,17:05,3.9,627.0,6 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
KSRTC (Kerala) - 55,SWIFT-GARUDA A/C SEATER BUS,Kozhikode to Bangalore Bus,12:00,08h 20m,20:20,4.0,627.0,6 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
KSRTC (Kerala) - 805,Super Fast Non AC Seater (2+3),Kozhikode to Bangalore Bus,13:32,09h 00m,22:32,4.0,432.0,27 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
KSRTC (Kerala) - 578,Super Express Non AC Seater Air Bus (2+2),Kozhikode to Bangalore Bus,18:00,09h 15m,03:15,3.5,513.0,18 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
KSRTC (Kerala) - 72,SWIFT-GARUDA A/C SEATER BUS,Kozhikode to Bangalore Bus,19:05,09h 15m,04:20,3.7,688.0,9 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
KSRTC (Kerala) - 1583,Super Express Non AC Seater Air Bus (2+2),Kozhikode to Bangalore Bus,20:00,09h 15m,05:15,3.8,640.0,11 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
KSRTC (Kerala) - 234,Swift Deluxe Non AC Air Bus (2+2),Kozhikode to Bangalore Bus,21:00,09h 40m,06:40,3.9,620.0,7 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
KSRTC (Kerala) - 1584,Super Express Non AC Seater Air Bus (2+2),Kozhikode to Bangalore Bus,21:30,09h 05m,06:35,2.9,640.0,17 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
KSRTC (Kerala) - 50,Swift Deluxe Non AC Air Bus (2+2),Kozhikode to Bangalore Bus,22:00,09h 10m,07:10,3.5,640.0,21 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
KSRTC (Kerala) - 549,Super Express Non AC Seater Air Bus (2+2),Kozhikode to Bangalore Bus,22:15,07h 58m,06:13,1.7,640.0,6 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
KSRTC (Kerala) - 96,Swift Deluxe Non AC Air Bus (2+2),Kozhikode to Bangalore Bus,23:05,08h 25m,07:30,2.2,567.0,5 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
KSRTC (Kerala) - 170,Swift Deluxe Non AC Air Bus (2+2),Kozhikode to Bangalore Bus,23:50,06h 50m,06:40,2.2,567.0,26 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
MMK Travels,A/C Seater / Sleeper (2+1),Kozhikode to Bangalore Bus,21:30,08h 30m,06:00,4.5,950.0,24 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
DLT BUS,A/C Sleeper (2+1),Kozhikode to Bangalore Bus,21:45,08h 45m,06:30,4.4,1200.0,16 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),Kozhikode to Bangalore Bus,12:15,08h 15m,20:30,4.3,1099.0,21 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
AdFAST LINE BUS,A/C Sleeper (2+1),Kozhikode to Bangalore Bus,21:15,09h 00m,06:15,4.7,2429.0,34 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
P K Travels,A/C Sleeper (2+1),Kozhikode to Bangalore Bus,20:00,10h 00m,06:00,4.3,1100.0,26 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
SAAM BUS,VE A/C Sleeper (2+1),Kozhikode to Bangalore Bus,20:30,09h 45m,06:15,4.3,900.0,19 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
NS Transports,Non A/C Seater / Sleeper (2+1),Kozhikode to Bangalore Bus,20:30,10h 05m,06:35,4.1,693.0,24 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
AdDA Transports,A/C Sleeper (2+1),Kozhikode to Bangalore Bus,21:50,08h 55m,06:45,3.7,999.0,13 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
NS Transports,Non A/C Seater / Sleeper (2+1),Kozhikode to Bangalore Bus,19:30,09h 00m,04:30,4.1,740.0,10 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
National travels and logistics,A/C Sleeper (2+1),Kozhikode to Bangalore Bus,21:00,09h 15m,06:15,3.1,749.0,18 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
Suraj Holidays,VE A/C Sleeper (2+1),Kozhikode to Bangalore Bus,22:00,09h 15m,07:15,3.9,1050.0,21 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
NS Transports,VE A/C Sleeper (2+1),Kozhikode to Bangalore Bus,21:16,09h 14m,06:30,4.0,924.0,19 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
National travels and logistics,NON A/C Sleeper (2+1),Kozhikode to Bangalore Bus,20:45,09h 30m,06:15,3.9,699.0,12 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
SKS Tours & Travels,A/C Sleeper (2+1),Kozhikode to Bangalore Bus,21:00,09h 00m,06:00,4.4,899.0,23 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),Kozhikode to Bangalore Bus,21:10,10h 05m,07:15,3.3,1799.0,22 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
P K Travels,Non A/C Seater / Sleeper (2+1),Kozhikode to Bangalore Bus,21:00,09h 00m,06:00,3.7,799.0,27 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
A1 Travels,Non A/C Seater / Sleeper (2+1),Kozhikode to Bangalore Bus,21:45,08h 45m,06:30,2.8,600.0,21 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
Suraj Holidays,NON AC Seater / Sleeper 2+1,Kozhikode to Bangalore Bus,20:15,09h 40m,05:55,3.0,750.0,19 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),Kozhikode to Bangalore Bus,13:45,09h 25m,23:10,4.5,1200.0,18 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
Orange Tours And Travels,Bharat Benz A/C Sleeper (2+1),Kozhikode to Bangalore Bus,14:00,09h 30m,23:30,2.5,1800.0,20 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
P K Travels,A/C Seater / Sleeper (2+1),Kozhikode to Bangalore Bus,21:45,09h 00m,06:45,4.5,900.0,27 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
Bharathi Travels,A/C Sleeper (2+1),Kozhikode to Bangalore Bus,15:00,08h 48m,23:48,3.2,1290.0,25 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
DA Transports,A/C Sleeper (2+1),Kozhikode to Bangalore Bus,22:01,09h 44m,07:45,3.7,999.0,11 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
KSRTC (Kerala) - 1865,Low Floor AC Seater 2+2,Kozhikode to Ernakulam Bus,06:30,05h 45m,12:15,3.4,383.0,3 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 794,Super Fast Non AC Seater (2+3),Kozhikode to Ernakulam Bus,06:40,05h 50m,12:30,3.4,269.0,42 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 2710,Super Fast Non AC Seater (2+3),Kozhikode to Ernakulam Bus,07:20,05h 46m,13:06,3.0,269.0,50 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 1870,Low Floor AC Seater 2+2,Kozhikode to Ernakulam Bus,08:30,05h 44m,14:14,4.5,383.0,17 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 764,Super Fast Non AC Seater (2+3),Kozhikode to Ernakulam Bus,09:00,05h 30m,14:30,3.0,269.0,48 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 671,Super Fast Non AC Seater (2+3),Kozhikode to Ernakulam Bus,09:10,04h 51m,14:01,2.4,230.0,39 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 2571,Super Fast Non AC Seater (2+3),Kozhikode to Ernakulam Bus,09:30,06h 25m,15:55,3.0,261.0,43 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 721,Super Fast Non AC Seater (2+3),Kozhikode to Ernakulam Bus,09:35,05h 35m,15:10,3.0,269.0,49 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 2885,Super Fast Non AC Seater (2+3),Kozhikode to Ernakulam Bus,09:50,05h 11m,15:01,3.0,220.0,39 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 2567,Super Fast Non AC Seater (2+3),Kozhikode to Ernakulam Bus,10:05,06h 25m,16:30,3.0,261.0,42 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 353,Super Fast Non AC Seater (2+3),Kozhikode to Ernakulam Bus,10:15,05h 45m,16:00,3.0,269.0,47 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 2371,Low Floor AC Seater 2+2,Kozhikode to Ernakulam Bus,10:30,05h 19m,15:49,4.0,383.0,19 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 1255,Super Fast Non AC Seater (2+3),Kozhikode to Ernakulam Bus,10:35,05h 56m,16:31,3.0,269.0,49 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 773,Super Fast Non AC Seater (2+3),Kozhikode to Ernakulam Bus,10:55,05h 25m,16:20,3.0,269.0,48 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 1884,Low Floor AC Seater 2+2,Kozhikode to Ernakulam Bus,12:30,05h 49m,18:19,3.0,383.0,25 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 596,Super Express Non AC Seater Air Bus (2+2),Kozhikode to Ernakulam Bus,13:40,05h 00m,18:40,2.6,293.0,29 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 2718,Super Fast Non AC Seater (2+3),Kozhikode to Ernakulam Bus,13:50,06h 10m,20:00,3.0,209.0,43 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 427,Super Fast Non AC Seater (2+3),Kozhikode to Ernakulam Bus,13:55,06h 25m,20:20,3.0,269.0,49 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 2896,Low Floor AC Seater 2+2,Kozhikode to Ernakulam Bus,14:00,06h 15m,20:15,3.0,383.0,18 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 2369,Low Floor AC Seater 2+2,Kozhikode to Ernakulam Bus,14:30,05h 44m,20:14,3.0,383.0,23 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 2818,Super Fast Non AC Seater (2+3),Kozhikode to Ernakulam Bus,15:00,05h 30m,20:30,2.2,269.0,50 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 2810,Super Fast Non AC Seater (2+3),Kozhikode to Ernakulam Bus,15:25,05h 40m,21:05,2.1,269.0,49 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 720,Super Fast Non AC Seater (2+3),Kozhikode to Ernakulam Bus,15:40,05h 35m,21:15,2.7,269.0,50 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 2898,Low Floor AC Seater 2+2,Kozhikode to Ernakulam Bus,16:00,06h 15m,22:15,4.5,383.0,24 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 2874,Super Fast Non AC Seater (2+3),Kozhikode to Ernakulam Bus,16:20,06h 10m,22:30,3.0,230.0,46 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 1883,Low Floor AC Seater 2+2,Kozhikode to Ernakulam Bus,16:30,05h 39m,22:09,3.2,383.0,26 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 323,Super Fast Non AC Seater (2+3),Kozhikode to Ernakulam Bus,17:25,05h 15m,22:40,1.0,269.0,43 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 2900,Low Floor AC Seater 2+2,Kozhikode to Ernakulam Bus,18:00,06h 15m,00:15,3.0,383.0,24 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 556,Super Express Non AC Seater Air Bus (2+2),Kozhikode to Ernakulam Bus,18:00,04h 50m,22:50,1.6,309.0,27 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 1872,Low Floor AC Seater 2+2,Kozhikode to Ernakulam Bus,18:30,05h 14m,23:44,3.2,383.0,1 Seat available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 564,Super Express Non AC Seater Air Bus (2+2),Kozhikode to Ernakulam Bus,20:12,04h 39m,00:51,3.5,309.0,31 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 46,Swift Deluxe Non AC Air Bus (2+2),Kozhikode to Ernakulam Bus,20:25,04h 36m,01:01,3.0,309.0,36 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 2393,Low Floor AC Seater 2+2,Kozhikode to Ernakulam Bus,20:30,05h 14m,01:44,3.0,383.0,22 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 3090,Super Express Non AC Seater Air Bus (2+2),Kozhikode to Ernakulam Bus,20:55,04h 00m,00:55,3.0,309.0,28 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 827,Super Fast Non AC Seater (2+3),Kozhikode to Ernakulam Bus,21:00,05h 35m,02:35,4.5,269.0,49 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 531,Super Express Non AC Seater Air Bus (2+2),Kozhikode to Ernakulam Bus,21:15,03h 55m,01:10,3.3,309.0,28 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 2954,Super Express Non AC Seater Air Bus (2+2),Kozhikode to Ernakulam Bus,21:25,05h 10m,02:35,3.0,309.0,34 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 42,Swift Deluxe Non AC Air Bus (2+2),Kozhikode to Ernakulam Bus,21:25,04h 40m,02:05,3.0,309.0,15 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 2919,Super Fast Non AC Seater (2+3),Kozhikode to Ernakulam Bus,21:30,05h 15m,02:45,3.0,269.0,49 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 1212,AC MULTI AXLE,Kozhikode to Ernakulam Bus,22:00,04h 26m,02:26,2.1,494.0,22 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 700,Super Fast Non AC Seater (2+3),Kozhikode to Ernakulam Bus,22:15,05h 34m,03:49,2.7,255.0,42 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 370,AC MULTI AXLE,Kozhikode to Ernakulam Bus,22:20,04h 55m,03:15,1.6,494.0,19 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 666,Super Fast Non AC Seater (2+3),Kozhikode to Ernakulam Bus,22:25,05h 54m,04:19,4.3,269.0,49 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 1841,Low Floor AC Seater 2+2,Kozhikode to Ernakulam Bus,22:30,05h 10m,03:40,3.3,383.0,25 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 582,Super Express Non AC Seater Air Bus (2+2),Kozhikode to Ernakulam Bus,22:40,05h 00m,03:40,3.0,288.0,27 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 1704,Super Fast Non AC Seater (2+3),Kozhikode to Ernakulam Bus,22:40,05h 10m,03:50,3.0,255.0,47 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 1011,Super Fast Non AC Seater (2+3),Kozhikode to Ernakulam Bus,23:00,05h 30m,04:30,3.0,261.0,36 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 279,Super Fast Non AC Seater (2+3),Kozhikode to Ernakulam Bus,23:05,05h 35m,04:40,3.2,269.0,43 Seats available,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
